Participant_ID,Question,Video_Index,Choice,TimeUsed
1,1,1,Right,27.319023
1,2,2,Left,12.136653
1,3,0,Right,3.606971
1,4,3,Left,3.431862
1,5,11,Right,2.407863
1,6,4,Left,2.992468
1,7,10,Right,3.095652
1,8,5,Left,4.968387
1,9,9,Right,1.752004
1,10,6,Left,6.095249
1,11,8,Right,10.680201
1,12,7,Right,8.720224
2,1,2,Left,4.769369
2,2,3,Right,1.001593
2,3,1,Left,2.066894
2,4,4,Right,0.701364
2,5,0,Left,0.683797
2,6,5,Right,0.783108
2,7,11,Left,0.584921
2,8,6,Right,0.849446
2,9,10,Left,0.953198
2,10,7,Right,0.714685
2,11,9,Left,0.983866
2,12,8,Right,0.700767
